,Zone de référence,Secteur institutionnel,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,CURRENCY
7339,France,Ménages,1988-12-01,0.009306430413884348,Millions,EUR
7340,France,Ménages,1989-03-01,0.011414932696287128,Millions,EUR
7341,France,Ménages,1989-06-01,0.004856437721831419,Millions,EUR
7342,France,Ménages,1989-09-01,0.011328089970618072,Millions,EUR
7343,France,Ménages,1989-12-01,0.005780811128700325,Millions,EUR
7344,France,Ménages,1990-03-01,0.010224095155910273,Millions,EUR
7345,France,Ménages,1990-06-01,0.004008720725789505,Millions,EUR
7346,France,Ménages,1990-09-01,-0.0003880741093725826,Millions,EUR
7347,France,Ménages,1990-12-01,0.0063926655696802115,Millions,EUR
7348,France,Ménages,1991-03-01,-0.000746613429588372,Millions,EUR
7349,France,Ménages,1991-06-01,0.0014984115616742955,Millions,EUR
7350,France,Ménages,1991-09-01,0.00021177961918272814,Millions,EUR
7351,France,Ménages,1991-12-01,0.004868884381132643,Millions,EUR
7352,France,Ménages,1992-03-01,0.0017109357393556568,Millions,EUR
7353,France,Ménages,1992-06-01,0.0011647380474368862,Millions,EUR
7354,France,Ménages,1992-09-01,0.0055458453018020215,Millions,EUR
7355,France,Ménages,1992-12-01,0.004795223416323546,Millions,EUR
7356,France,Ménages,1993-03-01,-0.014524466590136398,Millions,EUR
7357,France,Ménages,1993-06-01,0.00754688338106857,Millions,EUR
7358,France,Ménages,1993-09-01,0.0012917521724238323,Millions,EUR
7359,France,Ménages,1993-12-01,0.005128241139689349,Millions,EUR
7360,France,Ménages,1994-03-01,-0.0013373987594129666,Millions,EUR
7361,France,Ménages,1994-06-01,0.007962682577040914,Millions,EUR
7362,France,Ménages,1994-09-01,0.004877190286270983,Millions,EUR
